               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.031405,            0.019418,           0.0075342,             0.84575,              0.9996,             0.95804,              0.7955,            0.021367,            0.009572,           0.0053702,            0.008053,            0.008053,            0.008053
                  61,            0.029509,            0.018168,           0.0081343,             0.86995,             0.99359,             0.96356,             0.80261,            0.020578,           0.0084877,           0.0053014,             0.00802,             0.00802,             0.00802
                  62,            0.031109,            0.019343,           0.0074316,             0.86133,             0.98718,             0.96205,             0.80663,            0.020804,           0.0084771,           0.0051811,            0.007987,            0.007987,            0.007987
                  63,            0.030009,            0.018533,           0.0066634,             0.85805,             0.98278,             0.92257,             0.76586,            0.018863,           0.0082015,           0.0051388,            0.007954,            0.007954,            0.007954
                  64,            0.029761,            0.018947,           0.0068346,             0.86746,             0.98718,             0.95866,             0.79162,            0.019742,            0.007799,            0.004963,            0.007921,            0.007921,            0.007921
                  65,            0.029397,            0.019001,           0.0069594,              0.8786,             0.99359,             0.97431,             0.81886,            0.019521,           0.0075503,           0.0049647,            0.007888,            0.007888,            0.007888
                  66,            0.029377,            0.018399,           0.0083292,             0.88852,             0.98464,             0.96761,             0.82294,            0.018791,            0.007752,           0.0050027,            0.007855,            0.007855,            0.007855
                  67,            0.029506,            0.019528,           0.0077712,             0.90234,             0.99338,              0.9702,             0.78931,            0.019013,           0.0085129,           0.0051661,            0.007822,            0.007822,            0.007822
                  68,            0.027737,            0.018018,           0.0075186,             0.88985,             0.97826,             0.98968,             0.79342,            0.021514,           0.0091508,           0.0050398,            0.007789,            0.007789,            0.007789
                  69,            0.029416,            0.018105,           0.0073923,             0.95667,             0.99242,             0.99342,             0.79013,            0.023613,            0.009009,           0.0048545,            0.007756,            0.007756,            0.007756
                  70,            0.028701,             0.01712,           0.0078992,             0.98729,             0.98956,              0.9944,             0.85959,            0.019173,           0.0076982,           0.0049462,            0.007723,            0.007723,            0.007723
                  71,            0.027431,            0.018682,           0.0089385,             0.97449,              0.9286,             0.98854,             0.85188,            0.017719,           0.0073584,           0.0048545,             0.00769,             0.00769,             0.00769
                  72,            0.029013,            0.020233,           0.0081963,             0.84518,             0.97984,             0.98209,             0.82874,            0.019093,           0.0089847,           0.0049477,            0.007657,            0.007657,            0.007657
                  73,            0.029077,            0.017721,           0.0077994,              0.8442,             0.99194,             0.97905,             0.83992,             0.01884,           0.0082128,           0.0050181,            0.007624,            0.007624,            0.007624
                  74,            0.028779,            0.018082,           0.0078142,              0.9317,             0.90835,             0.98276,             0.83509,            0.018818,           0.0075861,           0.0048917,            0.007591,            0.007591,            0.007591
                  75,            0.028939,            0.018747,           0.0074111,             0.95909,             0.98189,             0.99114,             0.86257,            0.018847,           0.0069952,           0.0048236,            0.007558,            0.007558,            0.007558
                  76,            0.029384,            0.017861,           0.0076666,             0.95326,             0.96183,              0.9801,             0.85197,            0.018731,           0.0072383,           0.0048659,            0.007525,            0.007525,            0.007525
                  77,            0.026417,            0.018375,           0.0083858,             0.89865,             0.98718,             0.96252,             0.81908,             0.01987,           0.0084323,           0.0052468,            0.007492,            0.007492,            0.007492
                  78,            0.027289,            0.017782,           0.0076752,             0.89442,             0.98502,             0.96622,             0.81548,            0.019609,           0.0087435,           0.0053284,            0.007459,            0.007459,            0.007459
                  79,            0.027273,            0.017888,           0.0077082,             0.90407,             0.98718,             0.96602,             0.82939,            0.016892,           0.0080904,           0.0046622,            0.007426,            0.007426,            0.007426
                  80,            0.027458,             0.01843,           0.0071273,             0.87298,                   1,             0.95993,             0.81442,            0.019469,           0.0078399,           0.0045367,            0.007393,            0.007393,            0.007393
                  81,            0.027812,            0.018789,           0.0083294,             0.87838,             0.97448,             0.96161,               0.844,            0.017366,           0.0083096,           0.0047973,             0.00736,             0.00736,             0.00736
                  82,            0.027873,            0.018978,           0.0073035,             0.88839,             0.98429,             0.97208,             0.84829,            0.016355,           0.0077923,            0.004743,            0.007327,            0.007327,            0.007327
                  83,            0.027491,            0.018817,            0.006997,             0.98324,             0.97695,              0.9932,             0.84826,            0.016438,           0.0078624,           0.0047563,            0.007294,            0.007294,            0.007294
                  84,            0.027334,            0.017115,           0.0070181,             0.89272,             0.98243,             0.98905,             0.83371,            0.017422,           0.0080729,           0.0046846,            0.007261,            0.007261,            0.007261
                  85,            0.027553,            0.016692,           0.0060035,             0.89038,             0.98659,             0.96938,             0.83548,            0.018996,            0.008475,           0.0047685,            0.007228,            0.007228,            0.007228
                  86,             0.02775,            0.018123,           0.0071288,             0.90291,             0.99633,             0.96288,             0.84375,            0.018472,           0.0081201,           0.0045228,            0.007195,            0.007195,            0.007195
                  87,            0.026518,            0.018072,           0.0064506,             0.86977,             0.97036,             0.94984,             0.79167,            0.018822,           0.0081108,           0.0044441,            0.007162,            0.007162,            0.007162
                  88,            0.026629,            0.018578,           0.0064313,             0.89882,             0.99764,             0.96737,             0.80722,            0.018323,            0.007319,           0.0046747,            0.007129,            0.007129,            0.007129
                  89,            0.026681,            0.017799,           0.0068796,             0.89426,             0.99167,             0.98402,             0.85012,            0.015772,           0.0074334,           0.0046228,            0.007096,            0.007096,            0.007096
                  90,            0.026491,            0.017557,           0.0061749,              0.9065,             0.99071,             0.98867,             0.87088,            0.015571,           0.0073683,           0.0047736,            0.007063,            0.007063,            0.007063
                  91,            0.025016,            0.018223,           0.0080613,             0.98764,             0.96391,             0.99341,             0.88509,            0.017468,           0.0071622,           0.0046718,             0.00703,             0.00703,             0.00703
                  92,            0.024412,            0.016952,           0.0070905,             0.90867,             0.96903,             0.98085,             0.85095,            0.019862,           0.0081629,           0.0047299,            0.006997,            0.006997,            0.006997
                  93,            0.025082,             0.01585,           0.0073298,             0.97648,             0.98077,             0.98757,             0.86472,            0.018863,           0.0081787,           0.0049718,            0.006964,            0.006964,            0.006964
                  94,            0.025713,            0.016868,           0.0080232,             0.96902,             0.97261,             0.99095,             0.83764,            0.017261,           0.0082783,           0.0052383,            0.006931,            0.006931,            0.006931
                  95,            0.026147,            0.016469,           0.0080507,             0.97461,              0.9806,             0.98844,             0.86179,            0.016968,           0.0071778,           0.0049903,            0.006898,            0.006898,            0.006898
                  96,             0.02661,            0.018779,           0.0079407,             0.94711,             0.96119,             0.98716,             0.84483,            0.016751,           0.0074459,           0.0048075,            0.006865,            0.006865,            0.006865
                  97,            0.025359,            0.017383,           0.0067415,             0.96575,             0.95926,             0.99029,             0.86736,            0.017821,           0.0065386,           0.0047966,            0.006832,            0.006832,            0.006832
                  98,            0.025387,            0.016896,           0.0066661,             0.91328,             0.95846,             0.99138,             0.87658,            0.017004,           0.0062483,           0.0047349,            0.006799,            0.006799,            0.006799
                  99,            0.024974,            0.016612,           0.0065026,             0.95972,             0.96059,             0.99173,             0.88866,             0.01569,           0.0067105,           0.0047582,            0.006766,            0.006766,            0.006766
                 100,            0.024464,             0.01725,           0.0074664,              0.9578,              0.9921,             0.99312,             0.88422,            0.016546,           0.0068342,           0.0047717,            0.006733,            0.006733,            0.006733
                 101,            0.024159,            0.016897,           0.0070942,              0.9786,             0.98817,             0.99402,             0.87739,             0.01571,           0.0065911,           0.0045741,              0.0067,              0.0067,              0.0067
